date,X05,JA3,78H,J60,MX1,67V,Y47,V45,IN1,IN1
2015/1/14,45.62,21.09,107.71,9.83,13.81,212.67,9.7,24.41,56.92,56.92
2015/1/15,44.78,20.86,106.52,9.78,13.76,211.38,9.69,24.03,56.32,56.32
2015/1/16,45.47,21.16,107.65,9.73,13.63,213.51,9.86,24.27,56.97,56.97
2015/1/20,45.77,21.3,108.1,9.85,13.8,213.9,9.93,24.41,56.81,56.81
2015/1/21,46.06,21.43,108.82,9.97,14.01,214.67,9.97,24.56,57.17,57.17
2015/1/22,46.58,21.74,110.14,9.99,14.02,217.39,10.33,24.92,58.37,58.37
2015/1/23,46.75,21.76,110.07,10.17,14.28,217.21,10.47,24.97,57.96,57.96
2015/1/26,47.03,21.89,110.52,10.16,14.25,217.87,10.49,25.04,58.12,58.12
2015/1/27,46.51,21.55,109.32,10.08,14.17,215.48,10.26,24.7,57.58,57.58
2015/1/28,45.89,21.23,108.45,10.13,14.22,213.34,10.2,24.46,56.68,56.68
2015/1/29,46.39,21.35,109.66,9.93,13.85,214.87,10.31,24.8,57.34,57.34
2015/1/30,46.01,21.17,108.11,10.1,14.01,213.24,10.28,24.61,56.55,56.55
2015/2/2,46.22,21.32,108.92,9.92,13.77,214.82,10.3,24.85,57.16,57.16
2015/2/3,46.56,21.51,110.12,10.1,14.05,216.97,10.25,25.19,58.15,58.15
2015/2/4,46.35,21.4,109.95,10.1,14.09,216.47,10.29,25.02,57.67,57.67
2015/2/5,47.04,21.61,111.26,10.16,14.12,217.96,10.35,25.29,58.21,58.21
2015/2/6,46.76,21.45,110.85,10.25,14.17,216.67,10.44,25.15,58.14,58.14
2015/2/9,46.39,21.36,110.44,10.18,14.09,215.9,10.36,24.99,58,58
2015/2/10,46.96,21.67,111.76,10.19,14.1,218.26,10.52,25.29,58.32,58.32
2015/2/11,47.06,21.61,112.19,10.3,14.24,218.72,10.54,25.35,58.24,58.24
2015/2/12,47.45,21.83,113.42,10.32,14.34,221.06,10.57,25.66,58.8,58.8
2015/2/13,47.89,21.97,113.83,10.4,14.49,221.33,10.65,25.84,59.07,59.07
2015/2/17,47.94,21.99,114.18,10.44,14.57,221.94,10.65,25.89,59.25,59.25
2015/2/18,48.14,22.07,114.45,10.44,14.58,222.21,10.7,25.95,59.31,59.31
2015/2/19,48.42,22.3,114.82,10.44,14.65,223.32,10.8,26.07,59.13,59.13
2015/2/20,48.91,22.51,115.52,10.44,14.65,224.76,10.88,26.28,59.35,59.35
2015/2/23,48.83,22.5,115.71,10.67,14.86,224.53,10.95,26.22,59.26,59.26
2015/2/24,48.78,22.49,115.97,10.66,14.78,224.41,10.92,26.22,59.52,59.52
2015/2/25,49.02,22.71,116.02,10.7,14.82,225.35,10.94,26.26,59.39,59.39
2015/2/26,49.19,22.8,116.27,10.7,14.84,225.92,11.15,26.41,59.33,59.33
2015/2/27,48.81,22.65,115.41,10.72,14.86,225.15,11.1,26.23,59.3,59.3
2015/3/2,49.39,22.85,116.49,10.72,14.85,226.76,11.26,26.44,59.71,59.71
2015/3/3,49.08,22.72,116,10.68,14.81,225.96,11.22,26.33,59.43,59.43
2015/3/4,48.88,22.74,115.52,10.64,14.71,225.28,11.29,26.18,59.35,59.35
2015/3/5,49.24,22.85,116.1,10.74,14.8,225.87,11.42,26.26,59.48,59.48
2015/3/6,48.51,22.55,114.61,10.73,14.79,222.12,11.43,25.88,58.63,58.63
2015/3/9,48.55,22.6,115.06,10.6,14.59,222.7,11.46,25.93,58.75,58.75
2015/3/10,47.88,22.27,113.2,10.52,14.48,218.89,11.45,25.48,57.87,57.87
2015/3/11,47.93,22.24,113.03,10.46,14.42,217.98,11.62,25.38,57.9,57.9
2015/3/12,48.4,22.49,114.73,10.52,14.54,221.2,11.7,25.74,58.45,58.45
2015/3/13,48.19,22.31,114.2,10.47,14.49,219.11,11.8,25.55,58.29,58.29
2015/3/16,48.99,22.58,115.73,10.62,14.7,221.62,11.87,25.9,58.83,58.83
2015/3/17,49.03,22.61,115.65,10.63,14.74,221.13,11.86,25.9,58.6,58.6
2015/3/18,49.45,22.95,116.67,10.62,14.76,223.46,11.57,26.17,59.27,59.27
2015/3/19,49.8,23.03,116.99,10.77,14.94,223.41,11.96,26.26,58.95,58.95
2015/3/20,50.11,23.18,117.87,10.87,15.04,225.38,11.88,26.43,59.48,59.48
2015/3/23,49.78,23.05,117.51,10.84,15.01,225.18,11.62,26.35,59.54,59.54
2015/3/24,49.6,22.93,117.22,10.85,15.01,224.28,11.59,26.29,59.44,59.44
2015/3/25,48.37,22.47,114.86,10.7,14.82,220.7,11.28,25.81,58.77,58.77
2015/3/26,48.3,22.45,114.87,10.47,14.56,220.05,11.37,25.78,58.38,58.38
2015/3/27,48.79,22.54,115.54,10.54,14.62,220.41,11.42,25.94,58.63,58.63
2015/3/30,49.24,22.73,116.75,10.62,14.77,222.01,11.61,26.22,59.22,59.22
2015/3/31,48.64,22.55,115,10.56,14.73,219.66,11.54,25.99,59.01,59.01
2015/4/1,48.27,22.37,114.39,10.36,14.46,219.16,11.46,25.77,58.81,58.81
2015/4/2,48.4,22.39,114.6,10.47,14.63,220.47,11.36,25.86,58.83,58.83
2015/4/6,48.66,22.49,114.6,10.47,14.63,220.47,11.35,25.86,58.83,58.83
2015/4/7,48.71,22.49,115.23,10.47,14.76,221.39,11.49,25.97,59.09,59.09
2015/4/8,49.31,22.7,115.89,10.62,14.86,222.03,11.66,26.16,59.24,59.24
2015/4/9,49.52,22.76,116.18,10.63,14.95,223.08,11.85,26.3,59.42,59.42
2015/4/10,49.78,22.84,116.57,10.68,15.02,223.79,11.95,26.4,59.57,59.57
2015/4/13,49.72,22.77,116.29,10.76,15.16,222.83,11.97,26.31,59.22,59.22
2015/4/14,49.59,22.79,115.9,10.62,14.96,222.73,11.86,26.24,59.44,59.44
2015/4/15,49.93,22.91,116.46,10.69,15.04,222.91,11.91,26.34,59.68,59.68
2015/4/16,50.05,22.86,116.83,10.69,15.2,223.48,11.81,26.31,59.66,59.66
2015/4/17,49.21,22.55,115.12,10.57,14.95,220.99,11.6,25.89,58.96,58.96
2015/4/20,49.66,22.8,116.3,10.63,15.03,222.74,11.8,26.16,59.35,59.35
2015/4/21,50.01,22.84,116.65,10.71,15.22,222.87,11.84,26.26,59.4,59.4
2015/4/22,50.29,22.98,116.8,10.74,15.15,224.43,11.89,26.4,59.62,59.62
2015/4/23,50.4,23.01,117.41,10.79,15.19,225.06,11.82,26.48,59.8,59.8
2015/4/24,50.2,23.37,117.23,10.85,15.29,225.49,11.76,26.62,60.03,60.03
2015/4/27,49.69,23.23,116.71,10.9,15.37,224.14,11.6,26.46,59.64,59.64
2015/4/28,49.3,23.21,116.14,10.71,15.08,223.94,11.46,26.35,59.83,59.83
2015/4/29,49.28,23.23,115.53,10.72,15.07,222.27,11.29,26.34,59.52,59.52
2015/4/30,48.43,22.83,113.25,10.65,14.93,220.34,11.01,25.87,59.02,59.02
2015/5/1,48.79,23.08,113.25,10.65,14.93,220.34,11.14,25.87,59.02,59.02
2015/5/4,48.87,23.09,114.97,10.75,14.95,223.32,11.24,26.14,59.02,59.02
2015/5/5,48.21,22.83,113.68,10.61,14.84,221.27,11.03,25.88,58.89,58.89
2015/5/6,48.18,22.78,113.33,10.5,14.69,220.69,10.86,25.8,58.74,58.74
2015/5/7,48.49,22.98,114.03,10.5,14.69,221.37,11,26.02,58.89,58.89
2015/5/8,49.08,23.2,115.11,10.7,14.95,224.49,11.19,26.32,59.64,59.64
2015/5/11,49.05,23.12,114.87,10.74,15,223.31,11.25,26.24,59.44,59.44
2015/5/12,48.9,23.05,114.94,10.6,14.8,222.47,11.15,26.17,59.3,59.3
2015/5/13,48.96,23.04,115.08,10.7,14.92,222.52,11.01,26.19,59.3,59.3
2015/5/14,49.58,23.32,115.08,10.67,14.92,222.52,11.05,26.19,59.3,59.3
2015/5/15,49.54,23.27,116.73,10.8,15.06,225.53,11.02,26.44,59.74,59.74
2015/5/18,49.91,23.34,117.35,10.82,15.07,226.02,11.21,26.59,60.22,60.22
2015/5/19,49.85,23.24,117.23,10.89,15.18,226.72,11.36,26.55,60.04,60.04
2015/5/20,49.89,23.25,116.9,10.79,15.05,226.32,11.38,26.48,59.92,59.92
2015/5/21,50.14,23.34,117.35,10.84,15.13,226.54,11.43,26.63,60.05,60.05
2015/5/22,50.17,23.27,117.34,10.9,15.21,225.71,11.54,26.63,59.81,59.81
2015/5/26,49.7,23.02,116.07,10.83,15.12,223.38,11.57,26.27,59.09,59.09
2015/5/27,50.22,23.28,117.43,10.83,15.11,225.62,11.68,26.44,59.46,59.46
2015/5/28,50.15,23.28,117.32,10.85,15.1,225.53,11.63,26.33,59.42,59.42
2015/5/29,49.81,23.14,115.93,10.87,15.09,223.38,11.52,26.11,59.23,59.23
2015/6/1,49.92,23.19,116.4,10.81,15.08,223.44,11.62,26.22,59.37,59.37
2015/6/2,49.82,23.19,116.15,10.81,15.1,223.49,11.36,26.24,59.32,59.32
2015/6/3,50.01,23.29,116.77,10.89,15.18,224.28,11.27,26.4,59.5,59.5
2015/6/4,49.6,23.11,115.87,10.87,15.2,223.02,11.19,26.23,58.93,58.93
2015/6/5,49.85,23.14,115.73,10.76,15.07,222.52,11.36,26.27,59.09,59.09
2015/6/8,49.39,22.86,114.87,10.76,15.08,220.6,11.07,25.97,58.84,58.84
2015/6/9,49.34,22.82,114.9,10.66,14.93,220.83,11.08,25.95,58.79,58.79
2015/6/10,49.92,23.08,116.41,10.74,15.08,223.61,11.16,26.3,59.47,59.47
2015/6/11,50.08,23.08,116.88,10.88,15.25,223.71,11.24,26.3,59.59,59.59
2015/6/12,49.85,22.93,116.27,10.8,15.15,222.27,11.2,26.14,59.18,59.18
2015/6/15,49.69,22.84,115.76,10.66,14.97,221.31,11.12,26.04,58.95,58.95
2015/6/16,49.94,22.89,116.57,10.76,15.1,222.47,11.22,26.15,59.2,59.2
2015/6/17,50.05,22.95,116.77,10.84,15.17,223.22,11.14,26.23,59.24,59.24
2015/6/18,50.84,23.31,118.13,10.93,15.27,226.37,11.27,26.6,59.59,59.59
2015/6/19,50.69,23.21,117.95,10.97,15.33,224.82,11.27,26.48,59.36,59.36
2015/6/22,51.06,23.36,118.59,11.03,15.4,226.15,11.36,26.65,59.77,59.77
2015/6/23,51.16,23.41,118.59,11.04,15.4,226.15,11.57,26.65,59.77,59.77
2015/6/24,50.64,23.2,118.04,11.06,15.46,225.16,11.45,26.59,59.43,59.43
2015/6/25,50.61,23.18,118.15,10.99,15.32,225.07,11.43,26.51,59.29,59.29
2015/6/26,50.27,23.13,118.27,10.95,15.33,224.66,11.41,26.47,59.33,59.33
2015/6/29,49.03,22.56,115.89,10.8,15.09,219.93,11.06,25.85,58.13,58.13
2015/6/30,49.5,22.74,116.07,10.69,14.92,221,11.24,26,58.21,58.21
2015/7/1,49.71,22.86,117.08,10.69,15.1,223.01,11.39,26.16,58.41,58.41
2015/7/2,49.68,22.88,116.93,10.79,15.03,222.8,11.36,26.18,58.11,58.11
2015/7/6,49.47,22.81,116.52,10.78,14.97,222.86,11.36,26.08,57.95,57.95
2015/7/7,49.59,22.82,117.15,10.72,14.88,224.37,11.44,26.21,58.2,58.2
2015/7/8,48.63,22.3,115.15,10.66,14.81,220.89,11.15,25.68,57.38,57.38
2015/7/9,49.04,22.46,115.53,10.72,14.92,221.74,11.25,25.74,57.57,57.57
2015/7/10,49.67,22.79,117.12,10.74,14.96,224.95,11.29,26.17,58.06,58.06
2015/7/13,50.24,23.17,118.76,10.93,15.21,227.6,11.58,26.58,58.52,58.52
2015/7/14,50.76,23.31,119.39,10.99,15.27,228.11,11.68,26.7,58.79,58.79
2015/7/15,50.71,23.33,119.34,11.13,15.4,228.08,11.73,26.73,58.56,58.56
2015/7/16,51.23,23.57,120.32,11.12,15.46,230.95,11.91,26.94,58.83,58.83
2015/7/17,51.67,23.8,121.41,11.22,15.69,232.69,12.02,27.25,58.51,58.51
2015/7/20,51.84,23.91,122.04,11.31,15.75,233.69,12.07,27.36,58.39,58.39
2015/7/21,51.73,23.87,121.6,11.32,15.8,232.79,11.93,27.34,58.33,58.33
2015/7/22,51.53,23.88,121.37,11.26,15.73,232.7,11.9,27.35,58.33,58.33
2015/7/23,51.46,23.69,120.91,11.27,15.7,230.91,11.84,27.18,57.93,57.93
2015/7/24,50.92,23.44,118.97,11.29,15.67,229.38,11.72,26.97,57.31,57.31
2015/7/27,50.39,23.29,118.16,11.03,15.4,227.6,11.52,26.7,56.78,56.78
2015/7/28,50.98,23.6,119.48,11.04,15.35,230.53,11.7,27.04,57.29,57.29
2015/7/29,51.26,23.68,119.99,11.14,15.49,231.43,11.84,27.21,57.76,57.76
2015/7/30,51.36,23.69,120.21,11.05,15.38,231.82,11.92,27.28,57.68,57.68
2015/7/31,51.36,23.69,119.2,11.19,15.52,231.91,11.85,27.18,57.75,57.75
2015/8/3,51.2,23.65,119.15,11.2,15.6,231.95,11.87,27.11,57.3,57.3
2015/8/4,51.02,23.79,118.89,11.2,15.5,232.24,11.94,27.05,57.25,57.25
2015/8/5,51.51,24.02,119.27,11.3,15.63,233.48,12.03,27.21,57.65,57.65
2015/8/6,50.55,23.66,117.67,11.2,15.5,231.41,11.76,26.82,57.3,57.3
2015/8/7,50.39,23.52,117.59,11.03,15.29,231.36,11.7,26.79,57.23,57.23
2015/8/10,50.83,23.71,118.8,11.14,15.42,233.57,11.73,27.07,58.06,58.06
2015/8/11,50.5,23.53,117.98,11.07,15.35,231.54,11.6,26.87,57.66,57.66
2015/8/12,50.39,23.46,117.81,10.89,15.12,230.82,11.45,26.83,57.54,57.54
2015/8/13,50.36,23.54,117.86,11.03,15.24,230.31,11.48,26.81,57.46,57.46
2015/8/14,50.51,23.61,118.05,11.05,15.33,231.07,11.56,26.94,57.64,57.64
2015/8/17,50.96,23.77,118.95,11.02,15.32,232.04,11.7,27.09,57.93,57.93
2015/8/18,50.66,23.6,118.68,11.15,15.48,231.42,11.69,27.05,57.79,57.79
