,66Q,MY0,J94,601,S61,JE5,JB2,61D,59X,L12
2014/1/2 00:00,88.31,28.56,14.97,20.15,19.04,21.06,19.51,13.88,12.76,10.64
2014/1/3 00:00,88.35,28.59,14.98,20.15,19.06,21.07,19.51,13.87,12.774,10.64
2014/1/6 00:00,88.45,28.61,14.99,20.19,19.13,21.08,19.54,13.9,12.77,10.64
2014/1/7 00:00,88.53,28.65,15.01,20.22,19.11,21.13,19.56,13.92,12.789,10.64
2014/1/8 00:00,88.55,28.67,15.0,20.19,19.11,21.14,19.52,13.9,12.802,10.63
2014/1/9 00:00,88.51,28.63,14.98,20.21,19.11,21.14,19.52,13.95,12.77,10.63
2014/1/10 00:00,88.64,28.67,15.02,20.28,19.13,21.15,19.59,14.02,12.788,10.64
2014/1/13 00:00,88.97,28.79,15.08,20.31,19.19,21.15,19.61,14.03,12.851,10.64
2014/1/14 00:00,89.04,28.83,15.09,20.29,19.21,21.16,19.59,13.98,12.873,10.64
2014/1/15 00:00,88.99,28.76,15.05,20.29,19.18,21.19,19.57,13.98,12.846,10.64
2014/1/16 00:00,89.03,28.77,15.05,20.32,19.21,21.21,19.6,13.98,12.836,10.64
2014/1/17 00:00,89.1,28.82,15.06,20.34,19.23,21.23,19.61,14.0,12.86,10.64
2014/1/21 00:00,89.22,28.86,15.08,20.35,19.25,21.24,19.62,13.99,12.873,10.64
2014/1/22 00:00,89.24,28.86,15.07,20.33,19.25,21.25,19.6,13.96,12.874,10.64
2014/1/23 00:00,89.24,28.83,15.07,20.37,19.24,21.23,19.64,14.02,12.849,10.64
2014/1/24 00:00,89.37,28.92,15.12,20.34,19.27,21.15,19.65,14.04,12.891,10.64
2014/1/27 00:00,89.41,28.94,15.13,20.3,19.27,21.13,19.63,14.01,12.906,10.64
2014/1/28 00:00,89.3,28.89,15.11,20.32,19.25,21.14,19.65,14.03,12.884,10.64
2014/1/29 00:00,89.38,28.93,15.11,20.35,19.27,21.12,19.69,14.08,12.897,10.64
2014/1/30 00:00,89.51,29.0,15.16,20.34,19.28,21.14,19.68,14.07,12.929,10.64
2014/1/31 00:00,89.55,29.0,0.0,20.34,19.29,21.13,19.7,14.08,12.919,10.64
2014/2/3 00:00,89.61,29.04,0.0,20.38,19.29,21.12,19.75,14.16,12.933,10.63
2014/2/4 00:00,89.64,29.1,15.23,20.34,19.33,21.1,19.73,14.11,12.977,10.64
2014/2/5 00:00,89.59,29.04,15.19,20.33,19.32,21.11,19.7,14.06,12.955,10.65
2014/2/6 00:00,89.52,28.99,15.18,20.33,19.31,21.16,19.7,14.05,12.934,10.65
2014/2/7 00:00,89.57,28.99,15.18,20.37,19.3,21.2,19.73,14.09,12.926,10.65
2014/2/10 00:00,89.68,29.05,15.2,20.38,19.33,21.23,19.73,14.1,12.951,10.65
2014/2/11 00:00,89.68,29.04,15.18,20.39,19.33,21.27,19.72,14.06,12.95,10.65
2014/2/12 00:00,89.64,28.99,15.16,20.38,19.31,21.29,19.69,14.03,12.931,10.65
2014/2/13 00:00,89.62,28.97,15.14,20.4,19.29,21.3,19.73,14.06,12.907,10.65
2014/2/14 00:00,89.7,29.02,15.19,20.41,19.3,21.31,19.72,14.04,12.938,10.65
2014/2/18 00:00,89.77,29.02,15.19,20.45,19.31,21.35,19.76,14.07,12.934,10.65
2014/2/19 00:00,89.85,29.05,15.21,20.44,19.35,21.38,19.76,14.03,12.952,10.65
2014/2/20 00:00,89.8,29.03,15.19,20.44,19.32,21.39,19.74,14.0,12.938,10.65
2014/2/21 00:00,89.82,29.0,15.17,20.47,19.31,21.43,19.76,14.02,12.924,10.66
2014/2/24 00:00,89.9,29.05,15.19,20.49,19.34,21.46,19.76,14.02,12.939,10.66
2014/2/25 00:00,89.95,29.04,15.2,20.54,19.36,21.48,19.8,14.07,12.932,10.66
2014/2/26 00:00,90.08,29.11,15.23,20.57,19.4,21.5,19.83,14.1,12.962,10.67
2014/2/27 00:00,90.19,29.16,15.26,20.61,19.43,21.53,19.85,14.12,12.98,10.67
2014/2/28 00:00,90.26,29.21,15.25,20.64,19.45,21.56,19.85,14.13,12.999,10.67
2014/3/3 00:00,90.33,29.21,15.28,20.64,19.46,21.55,19.89,14.18,12.995,10.67
2014/3/4 00:00,90.37,29.27,15.28,20.6,19.47,21.57,19.85,14.1,13.017,10.67
2014/3/5 00:00,90.3,29.17,15.24,20.61,19.43,21.57,19.85,14.1,12.974,10.67
2014/3/6 00:00,90.25,29.16,15.23,20.57,19.41,21.56,19.83,14.08,12.973,10.67
2014/3/7 00:00,90.16,29.12,15.17,20.53,19.37,21.52,19.79,14.06,12.95,10.66
2014/3/10 00:00,90.12,29.05,15.18,20.52,19.35,21.52,19.78,14.05,12.92,10.67
2014/3/11 00:00,90.1,29.06,15.18,20.54,19.36,21.51,19.79,14.06,12.924,10.68
2014/3/12 00:00,90.13,29.06,15.21,20.56,19.36,21.5,19.8,14.08,12.931,10.68
2014/3/13 00:00,90.24,29.11,15.21,20.61,19.37,21.51,19.83,14.14,12.95,10.68
2014/3/14 00:00,90.33,29.19,15.28,20.6,19.42,21.49,19.83,14.15,12.99,10.68
2014/3/17 00:00,90.35,29.19,15.25,20.58,19.41,21.51,19.8,14.11,12.986,10.66
2014/3/18 00:00,90.33,29.13,15.25,20.61,19.4,21.55,19.82,14.12,12.959,10.68
2014/3/19 00:00,90.35,29.17,15.26,20.57,19.42,21.57,19.77,14.02,12.972,10.67
2014/3/20 00:00,90.23,29.08,15.19,20.56,19.34,21.54,19.75,13.98,12.916,10.67
2014/3/21 00:00,90.26,29.09,15.19,20.59,19.35,21.58,19.77,14.02,12.911,10.69
