date,66R,675,76Q,76R,559,780,149,150,54Q,66U,66V,76W,76X,E30,F0I,F0U,F64,F65,F86,65A,71D,71Z,820,J1K,J63,J90,JB1,JB3,JB4,JB6,JB7,JB8,JB9,JE1,JE2,JE4,JE7,JE8,JK3,JK4,67I,67J,L0D,L0K,L0L,L0M,L13,L21,L22,L66,L72,L88,L96,L97,68P,706,68A,79D,596,603,64S,72H,72I,73K,76C,76D,76E,60N,60O,61E,57Y,69E,74G,880,MW5,MY1,MY2,MY3,MY6,N02,N04,N05,N20,N21,N22,N23,N30,N31,N32,N33,59D,59E,59F,64Z,67H,68X,69I,69J,69K,72W,72X,72Y,72Z,73A,S87,SB9,SE5,SI1,V59,X07,Y10,Y11,Y24,Y25,Y48,Y49,Y81,Y99,504,505,57D,59K,rf,rm,vix,rm-rf,(rm-rf)^2,D,(rm-rf)D
2014-01-02 00:00:00,67.67,62.73,0.0,0.0,13.6,13.6,11.0538,8.5057,57.41,74.88,64.62,0.0,0.0,10.61,9.984,10.32,12.32,11.48,11.03,11.03,9.984,10.32,12.32,0.0,12.16,10.12,12.02,21.96,9.51,26.97,11.25,16.53,18.56,12.16,16.97,9.65,11.25,14.74,11.26,9.92,117.32,82.21,0.0,0.0,0.0,0.0,8.68,8.69,7.27,14.95,14.68,14.07,0.0,0.0,256.85,112.93,254.12,0.0,8.73,10.41,14.96,0.0,0.0,0.0,0.0,0.0,0.0,16.35,10.45,10.93,11.32,11.02,0.0,5.88,150.79,16.45,17.32,9.75,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.217,12.298,11.028,9.715,10.584,10.495,9.8,9.392,9.482,0.0,0.0,0.0,0.0,0.0,104.75,11.2103,10.6021,10.264,102.15,50.82,9.36,7.22,9.36,7.22,12.63,12.63,10.29,0.0,9.37,7.26,12.1,9.24,2.991,0.0,14.23,0.0,0.0,1.0,0.0
2014-01-03 00:00:00,67.7,62.76,0.0,0.0,13.62,13.62,11.061,8.5112,57.44,74.91,64.64,0.0,0.0,10.61,9.988,10.32,12.33,11.49,11.03,11.03,9.988,10.32,12.33,0.0,12.17,10.13,12.02,21.97,9.52,26.98,11.25,16.52,18.56,12.16,16.97,9.66,11.25,14.74,11.26,9.93,117.26,82.24,0.0,0.0,0.0,0.0,8.68,8.69,7.27,14.95,14.69,14.07,0.0,0.0,255.49,112.54,253.23,0.0,8.73,10.41,14.96,0.0,0.0,0.0,0.0,0.0,0.0,16.35,10.45,10.93,11.33,11.02,0.0,5.89,150.79,16.47,17.34,9.76,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.239,12.309,11.05,9.725,10.602,10.505,9.811,9.408,9.499,0.0,0.0,0.0,0.0,0.0,104.73,11.2179,10.6088,10.2705,102.24,50.92,9.36,7.22,9.36,7.22,12.62,12.62,10.3,0.0,9.37,7.26,12.09,9.24,2.998,0.0,13.76,0.0,0.0,1.0,0.0
2014-01-06 00:00:00,67.77,62.82,0.0,0.0,13.62,13.62,11.0989,8.5404,57.49,74.98,64.71,0.0,0.0,10.62,10.0,10.34,12.35,11.5,11.05,11.05,10.0,10.34,12.35,0.0,12.18,10.13,12.04,22.0,9.53,27.01,11.25,16.53,18.56,12.18,16.99,9.67,11.25,14.75,11.27,9.94,117.42,82.34,0.0,0.0,0.0,0.0,8.7,8.71,7.27,14.98,14.71,14.1,0.0,0.0,256.12,112.82,253.84,0.0,8.75,10.41,14.99,0.0,0.0,0.0,0.0,0.0,0.0,16.37,10.46,10.95,11.33,11.03,0.0,5.89,150.79,16.48,17.35,9.76,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.239,12.321,11.044,9.722,10.599,10.517,9.821,9.406,9.497,0.0,0.0,0.0,0.0,0.0,104.74,11.2171,10.6068,10.2685,102.36,50.73,9.38,7.23,9.38,7.23,12.61,12.61,10.32,0.0,9.39,7.28,12.08,9.24,2.958,0.0,13.55,0.0,0.0,1.0,0.0
2014-01-07 00:00:00,67.84,62.87,0.0,0.0,13.64,13.64,11.1302,8.5644,57.53,75.05,64.77,0.0,0.0,10.64,10.02,10.35,12.37,11.52,11.06,11.06,10.02,10.35,12.37,0.0,12.19,10.14,12.05,22.02,9.55,27.06,11.25,16.53,18.57,12.19,17.01,9.69,11.25,14.75,11.29,9.96,117.51,82.46,0.0,0.0,0.0,0.0,8.71,8.72,7.27,15.0,14.73,14.12,0.0,0.0,256.42,112.92,254.06,0.0,8.76,10.41,15.01,0.0,0.0,0.0,0.0,0.0,0.0,16.39,10.47,10.97,11.36,11.05,0.0,5.9,150.79,16.5,17.37,9.78,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.27,12.336,11.073,9.737,10.623,10.532,9.837,9.428,9.521,0.0,0.0,0.0,0.0,0.0,104.74,11.2337,10.622,10.2832,102.54,50.96,9.39,7.25,9.39,7.25,12.64,12.64,10.34,0.0,9.4,7.29,12.11,9.24,2.941,0.0,12.92,0.0,0.0,1.0,0.0
2014-01-08 00:00:00,67.85,62.94,0.0,0.0,13.65,13.65,11.1014,8.5423,57.59,75.06,64.78,0.0,0.0,10.67,10.02,10.36,12.37,11.53,11.07,11.07,10.02,10.36,12.37,0.0,12.19,10.11,12.02,21.97,9.55,27.08,11.25,16.52,18.56,12.17,16.97,9.69,11.25,14.74,11.26,9.96,117.3,82.49,0.0,0.0,0.0,0.0,8.7,8.71,7.27,14.98,14.71,14.1,0.0,0.0,256.21,112.82,253.84,0.0,8.75,10.4,14.99,0.0,0.0,0.0,0.0,0.0,0.0,16.34,10.45,10.95,11.37,11.07,0.0,5.91,150.79,16.52,17.41,9.8,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.288,12.361,11.093,9.746,10.637,10.555,9.86,9.44,9.535,0.0,0.0,0.0,0.0,0.0,104.74,11.2368,10.6245,10.2857,102.58,50.91,9.37,7.25,9.37,7.25,12.62,12.62,10.35,0.0,9.38,7.29,12.09,9.24,2.991,0.0,12.87,0.0,0.0,1.0,0.0
2014-01-09 00:00:00,67.82,63.05,0.0,0.0,13.62,13.62,11.1201,8.5567,57.69,75.03,64.74,0.0,0.0,10.68,10.03,10.37,12.38,11.53,11.08,11.08,10.03,10.37,12.38,0.0,12.17,10.1,12.02,21.98,9.55,27.08,11.25,16.53,18.56,12.17,16.98,9.69,11.25,14.74,11.26,9.96,117.47,82.49,0.0,0.0,0.0,0.0,8.71,8.71,7.27,15.0,14.73,14.12,0.0,0.0,255.98,112.69,253.54,0.0,8.76,10.4,15.01,0.0,0.0,0.0,0.0,0.0,0.0,16.36,10.46,10.99,11.39,11.09,0.0,5.92,150.79,16.49,17.37,9.77,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.249,12.364,11.055,9.722,10.603,10.559,9.865,9.409,9.505,0.0,0.0,0.0,0.0,0.0,104.73,11.1974,10.5868,10.2492,102.59,50.95,9.36,7.22,9.36,7.22,12.59,12.59,10.3,0.0,9.38,7.27,12.07,9.24,2.969,0.0,12.89,0.0,0.0,1.0,0.0
2014-01-10 00:00:00,67.92,63.14,0.0,0.0,13.63,13.63,11.1742,8.5983,57.78,75.13,64.84,0.0,0.0,10.69,10.04,10.38,12.39,11.55,11.09,11.09,10.04,10.38,12.39,0.0,12.2,10.12,12.07,22.06,9.56,27.1,11.26,16.54,18.58,12.21,17.04,9.7,11.26,14.76,11.3,9.97,117.96,82.54,0.0,0.0,0.0,0.0,8.74,8.74,7.27,15.06,14.78,14.18,0.0,0.0,257.31,113.29,254.88,0.0,8.79,10.4,15.07,0.0,0.0,0.0,0.0,0.0,0.0,16.44,10.51,11.04,11.4,11.1,0.0,5.92,150.79,16.52,17.36,9.77,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.271,12.371,11.065,9.736,10.616,10.566,9.875,9.421,9.519,0.0,0.0,0.0,0.0,0.0,104.73,11.2026,10.5913,10.2536,102.7,50.96,9.39,7.23,9.39,7.23,12.64,12.64,10.31,0.0,9.41,7.28,12.12,9.24,2.86,0.0,12.14,0.0,0.0,1.0,0.0
2014-01-13 00:00:00,68.17,63.26,0.0,0.0,13.7,13.7,11.1799,8.6027,57.88,75.4,65.07,0.0,0.0,10.69,10.05,10.39,12.41,11.56,11.1,11.1,10.05,10.39,12.41,0.0,12.25,10.16,12.08,22.08,9.56,27.1,11.26,16.55,18.58,12.22,17.05,9.7,11.26,14.76,11.31,9.97,118.09,82.59,0.0,0.0,0.0,0.0,8.75,8.75,7.27,15.08,14.8,14.18,15.07,0.0,257.7,113.5,255.31,0.0,8.8,10.41,15.09,0.0,0.0,0.0,0.0,0.0,0.0,16.46,10.52,11.05,11.42,11.11,0.0,5.93,150.79,16.59,17.48,9.84,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.341,12.385,11.136,9.784,10.674,10.578,9.887,9.473,9.57,0.0,0.0,0.0,0.0,0.0,104.76,11.2754,10.6588,10.3189,102.81,50.26,9.4,7.24,9.4,7.24,12.59,12.59,10.32,0.0,9.42,7.28,12.07,9.24,2.829,0.0,13.28,0.0,0.0,1.0,0.0
2014-01-14 00:00:00,68.23,63.25,0.0,0.0,13.72,13.72,11.1529,8.5819,57.87,75.46,65.12,0.0,0.0,10.72,10.06,10.4,12.41,11.57,11.11,11.11,10.06,10.4,12.41,0.0,12.26,10.17,12.06,22.05,9.56,27.11,11.26,16.54,18.58,12.21,17.03,9.7,11.26,14.76,11.3,9.97,117.88,82.64,0.0,0.0,0.0,0.0,8.74,8.74,7.27,15.05,14.78,14.17,15.05,15.0,257.02,113.17,254.56,0.0,8.79,10.4,15.06,0.0,0.0,0.0,0.0,0.0,0.0,16.43,10.5,11.01,11.41,11.11,0.0,5.93,150.79,16.61,17.52,9.86,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.363,12.388,11.158,9.801,10.694,10.581,9.891,9.49,9.589,0.0,0.0,0.0,0.0,0.0,104.75,11.2862,10.6685,10.3283,102.83,50.73,9.38,7.24,9.38,7.24,12.64,12.64,10.33,0.0,9.39,7.29,12.12,9.24,2.873,0.0,12.28,0.0,0.0,1.0,0.0
2014-01-15 00:00:00,68.19,63.37,0.0,0.0,13.7,13.7,11.1516,8.5809,57.98,75.42,65.08,0.0,0.0,10.72,10.07,10.42,12.43,11.58,11.12,11.12,10.07,10.42,12.43,0.0,12.23,10.14,12.02,22.04,9.51,27.14,11.25,16.54,18.57,12.19,17.02,9.68,11.26,14.75,11.28,9.94,117.82,82.76,0.0,0.0,0.0,0.0,8.74,8.74,7.27,15.06,14.79,14.17,15.06,15.0,257.01,113.15,254.52,0.0,8.79,10.4,15.07,15.05,15.0,0.0,0.0,0.0,0.0,16.41,10.49,11.01,11.43,11.12,0.0,5.94,150.79,16.57,17.46,9.83,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339,12.392,11.133,9.78,10.672,10.586,9.896,9.471,9.571,0.0,0.0,0.0,0.0,0.0,104.74,11.2621,10.6454,10.3059,102.36,50.99,9.37,7.24,9.37,7.24,12.68,12.68,10.34,0.0,9.38,7.29,12.15,9.23,2.893,0.0,12.28,0.0,0.0,1.0,0.0
